rel.group,area,year,season,program,length,lendist
115,1,2006,4,JPTP,112,0
115,1,2006,4,JPTP,114,0
115,1,2006,4,JPTP,116,0
115,1,2006,4,JPTP,118,0
115,1,2006,4,JPTP,120,0
115,1,2006,4,JPTP,122,0
115,1,2006,4,JPTP,124,0
115,1,2006,4,JPTP,126,0
115,1,2006,4,JPTP,128,1.29437281864025
115,1,2006,4,JPTP,130,0
115,1,2006,4,JPTP,132,0
115,1,2006,4,JPTP,134,0
115,1,2006,4,JPTP,136,0
115,1,2006,4,JPTP,138,0
115,1,2006,4,JPTP,140,0
115,1,2006,4,JPTP,142,0
115,1,2006,4,JPTP,144,0
115,1,2006,4,JPTP,146,0
115,1,2006,4,JPTP,148,0
115,1,2006,4,JPTP,150,0
115,1,2006,4,JPTP,152,0
115,1,2006,4,JPTP,154,0
115,1,2006,4,JPTP,156,0
115,1,2006,4,JPTP,158,0
115,1,2006,4,JPTP,160,0
115,1,2006,4,JPTP,162,0
115,1,2006,4,JPTP,164,0
115,1,2006,4,JPTP,166,0
115,1,2006,4,JPTP,168,0
115,1,2006,4,JPTP,170,0
115,1,2006,4,JPTP,172,0
115,1,2006,4,JPTP,174,0
115,1,2006,4,JPTP,176,0
115,1,2006,4,JPTP,178,0
115,1,2006,4,JPTP,180,0
115,1,2006,4,JPTP,182,0
115,1,2006,4,JPTP,184,0
115,1,2006,4,JPTP,186,0
115,1,2006,4,JPTP,188,0
115,1,2006,4,JPTP,190,0
115,1,2006,4,JPTP,192,0
115,1,2006,4,JPTP,194,0
115,1,2006,4,JPTP,196,0
115,1,2006,4,JPTP,198,0
116,1,2007,2,JPTP,10,0
116,1,2007,2,JPTP,12,0
116,1,2007,2,JPTP,14,0
116,1,2007,2,JPTP,16,0
116,1,2007,2,JPTP,18,0
116,1,2007,2,JPTP,20,0
116,1,2007,2,JPTP,22,0
116,1,2007,2,JPTP,24,5.88351281200114
116,1,2007,2,JPTP,26,2.35340512480046
116,1,2007,2,JPTP,28,4.1184589684008
116,1,2007,2,JPTP,30,7.64856665560148
116,1,2007,2,JPTP,32,11.7670256240023
116,1,2007,2,JPTP,34,7.64856665560148
116,1,2007,2,JPTP,36,2.35340512480046
116,1,2007,2,JPTP,38,1.17670256240023
116,1,2007,2,JPTP,40,1.17670256240023
116,1,2007,2,JPTP,42,7.06021537440137
116,1,2007,2,JPTP,44,11.7670256240023
116,1,2007,2,JPTP,46,12.3553769052024
116,1,2007,2,JPTP,48,11.7670256240023
116,1,2007,2,JPTP,50,4.70681024960091
116,1,2007,2,JPTP,52,0.588351281200114
116,1,2007,2,JPTP,54,1.76505384360034
116,1,2007,2,JPTP,56,1.17670256240023
116,1,2007,2,JPTP,58,0
116,1,2007,2,JPTP,60,0
116,1,2007,2,JPTP,62,0
116,1,2007,2,JPTP,64,0
116,1,2007,2,JPTP,66,0
116,1,2007,2,JPTP,68,0
116,1,2007,2,JPTP,70,0
116,1,2007,2,JPTP,72,0
116,1,2007,2,JPTP,74,0
116,1,2007,2,JPTP,76,0
116,1,2007,2,JPTP,78,0
116,1,2007,2,JPTP,80,0
116,1,2007,2,JPTP,82,0
116,1,2007,2,JPTP,84,0
116,1,2007,2,JPTP,86,0
116,1,2007,2,JPTP,88,0
116,1,2007,2,JPTP,90,0
116,1,2007,2,JPTP,92,0
116,1,2007,2,JPTP,94,0
116,1,2007,2,JPTP,96,0
116,1,2007,2,JPTP,98,0
116,1,2007,2,JPTP,100,0
116,1,2007,2,JPTP,102,0
116,1,2007,2,JPTP,104,0
116,1,2007,2,JPTP,106,0
116,1,2007,2,JPTP,108,0
116,1,2007,2,JPTP,110,0
116,1,2007,2,JPTP,112,0
116,1,2007,2,JPTP,114,0
116,1,2007,2,JPTP,116,0
116,1,2007,2,JPTP,118,0
116,1,2007,2,JPTP,120,0
116,1,2007,2,JPTP,122,0
116,1,2007,2,JPTP,124,0
116,1,2007,2,JPTP,126,0
116,1,2007,2,JPTP,128,0
116,1,2007,2,JPTP,130,0
116,1,2007,2,JPTP,132,0
116,1,2007,2,JPTP,134,0
116,1,2007,2,JPTP,136,0
