fishery,age,sel
15,34,0.9973
15,35,0.9986
15,36,0.9995
15,37,1
15,38,1
15,39,1
15,40,1
16,1,0.0103
16,2,0.1445
16,3,1
16,4,0.1645
16,5,0.0107
16,6,0.0017
16,7,9e-04
16,8,8e-04
16,9,9e-04
16,10,0.0011
16,11,0.0012
16,12,0.0013
16,13,0.0013
16,14,0.0013
16,15,0.0013
16,16,0.0013
16,17,0.0013
16,18,0.0013
16,19,0.0013
16,20,0.0013
16,21,0.0013
16,22,0.0013
16,23,0.0013
16,24,0.0013
16,25,0.0013
16,26,0.0013
16,27,0.0013
16,28,0.0013
16,29,0.0013
16,30,0.0013
16,31,0.0013
16,32,0.0013
16,33,0.0013
16,34,0.0013
16,35,0.0013
16,36,0.0013
16,37,0.0013
16,38,0.0013
16,39,0.0013
16,40,0.0013
17,1,0.0011
17,2,0.2259
17,3,1
17,4,2e-04
17,5,0
17,6,0
17,7,0
17,8,0
17,9,0
17,10,0
17,11,1e-04
17,12,1e-04
17,13,1e-04
17,14,1e-04
17,15,1e-04
17,16,1e-04
17,17,1e-04
17,18,1e-04
17,19,1e-04
17,20,1e-04
17,21,1e-04
17,22,1e-04
17,23,1e-04
17,24,1e-04
17,25,1e-04
17,26,1e-04
17,27,1e-04
17,28,1e-04
17,29,1e-04
17,30,1e-04
17,31,1e-04
17,32,1e-04
17,33,1e-04
17,34,1e-04
17,35,1e-04
17,36,1e-04
17,37,1e-04
17,38,1e-04
17,39,1e-04
17,40,1e-04
18,1,0.0106
18,2,0.7842
18,3,1
18,4,1e-04
18,5,0
18,6,0
18,7,0
18,8,0
18,9,0
18,10,0
18,11,1e-04
18,12,2e-04
18,13,2e-04
18,14,2e-04
18,15,2e-04
18,16,2e-04
18,17,2e-04
18,18,2e-04
18,19,2e-04
18,20,2e-04
18,21,2e-04
18,22,2e-04
18,23,2e-04
18,24,2e-04
18,25,2e-04
18,26,2e-04
18,27,2e-04
18,28,2e-04
18,29,2e-04
18,30,2e-04
18,31,2e-04
18,32,2e-04
18,33,2e-04
18,34,2e-04
18,35,2e-04
18,36,2e-04
18,37,2e-04
18,38,2e-04
18,39,2e-04
18,40,2e-04
19,1,0
19,2,0.3363
19,3,0.5639
19,4,1
19,5,0.9444
19,6,0.5752
19,7,0.3233
19,8,0.1967
19,9,0.1364
19,10,0.1061
19,11,0.0893
19,12,0.0793
19,13,0.073
19,14,0.069
19,15,0.0663
19,16,0.0644
19,17,0.0632
19,18,0.0623
19,19,0.0617
19,20,0.0613
19,21,0.061
19,22,0.0608
19,23,0.0607
19,24,0.0606
19,25,0.0605
19,26,0.0605
19,27,0.0604
19,28,0.0604
19,29,0.0604
19,30,0.0604
19,31,0.0604
19,32,0.0604
19,33,0.0604
19,34,0.0604
19,35,0.0604
19,36,0.0604
19,37,0.0604
19,38,0.0604
19,39,0.0604
19,40,0.0604
20,1,0
20,2,0.051
20,3,0.1375
20,4,0.5482
20,5,1
20,6,0.9563
20,7,0.7391
20,8,0.568
20,9,0.4703
20,10,0.4192
20,11,0.3909
20,12,0.3748
20,13,0.3653
20,14,0.3597
20,15,0.3563
20,16,0.3543
20,17,0.3531
20,18,0.3523
20,19,0.3519
20,20,0.3516
20,21,0.3514
20,22,0.3513
20,23,0.3513
20,24,0.3512
20,25,0.3512
20,26,0.3512
20,27,0.3512
20,28,0.3512
20,29,0.3512
20,30,0.3512
20,31,0.3512
20,32,0.3512
20,33,0.3512
20,34,0.3512
20,35,0.3512
20,36,0.3512
20,37,0.3512
20,38,0.3512
20,39,0.3512
20,40,0.3512
21,1,0
21,2,1
21,3,0.656
21,4,0.3479
21,5,0.2134
21,6,0.1173
21,7,0.051
21,8,0.0191
21,9,0.0079
21,10,0.0041
21,11,0.0027
21,12,0.0021
21,13,0.0021
21,14,0.0021
21,15,0.0021
21,16,0.0021
21,17,0.0021
21,18,0.0021
21,19,0.0021
21,20,0.0021
21,21,0.0021
21,22,0.0021
21,23,0.0021
21,24,0.0021
21,25,0.0021
21,26,0.0021
21,27,0.0021
21,28,0.0021
21,29,0.0021
21,30,0.0021
21,31,0.0021
21,32,0.0021
21,33,0.0021
21,34,0.0021
21,35,0.0021
21,36,0.0021
21,37,0.0021
21,38,0.0021
21,39,0.0021
21,40,0.0021
22,1,0.0112
22,2,0.8686
22,3,1
22,4,1e-04
22,5,0
22,6,0
22,7,0
22,8,0
22,9,0
22,10,3e-04
22,11,0.0016
22,12,0.0025
22,13,0.0025
22,14,0.0025
22,15,0.0025
22,16,0.0025
22,17,0.0025
22,18,0.0025
22,19,0.0025
22,20,0.0025
22,21,0.0025
22,22,0.0025
22,23,0.0025
22,24,0.0025
22,25,0.0025
22,26,0.0025
22,27,0.0025
22,28,0.0025
22,29,0.0025
22,30,0.0025
22,31,0.0025
22,32,0.0025
22,33,0.0025
22,34,0.0025
22,35,0.0025
22,36,0.0025
22,37,0.0025
22,38,0.0025
22,39,0.0025
22,40,0.0025
23,1,5e-04
23,2,0.1366
23,3,1
23,4,2e-04
23,5,0
23,6,0
23,7,0
23,8,0
23,9,0
23,10,0
23,11,0
23,12,0
23,13,0
23,14,0
23,15,0
23,16,0
23,17,0
23,18,0
23,19,0
23,20,0
23,21,0
23,22,0
23,23,0
23,24,0
23,25,0
23,26,0
23,27,0
23,28,0
23,29,0
23,30,0
23,31,0
23,32,0
23,33,0
23,34,0
23,35,0
23,36,0
23,37,0
23,38,0
23,39,0
23,40,0
24,1,0
24,2,0.1742
24,3,0.4172
24,4,1
24,5,0.7288
24,6,0.248
24,7,0.0757
24,8,0.0275
24,9,0.013
24,10,0.0076
24,11,0.0052
24,12,0.004
24,13,0.0033
24,14,0.0029
24,15,0.0027
24,16,0.0025
24,17,0.0024
24,18,0.0024
24,19,0.0023
24,20,0.0023
24,21,0.0023
24,22,0.0023
24,23,0.0023
24,24,0.0022
24,25,0.0022
24,26,0.0022
24,27,0.0022
24,28,0.0022
24,29,0.0022
24,30,0.0022
24,31,0.0022
24,32,0.0022
24,33,0.0022
24,34,0.0022
24,35,0.0022
24,36,0.0022
24,37,0.0022
24,38,0.0022
24,39,0.0022
24,40,0.0022
25,1,0
25,2,0.9369
25,3,1
25,4,0.9567
25,5,0.7093
25,6,0.4522
25,7,0.2844
25,8,0.1878
25,9,0.133
25,10,0.101
25,11,0.0816
25,12,0.0693
25,13,0.0613
25,14,0.056
25,15,0.0523
25,16,0.0498
25,17,0.048
25,18,0.0468
25,19,0.0459
25,20,0.0453
25,21,0.0449
25,22,0.0446
25,23,0.0444
25,24,0.0442
25,25,0.0441
25,26,0.044
25,27,0.044
25,28,0.0439
25,29,0.0439
25,30,0.0439
25,31,0.0439
25,32,0.0439
25,33,0.0439
25,34,0.0438
25,35,0.0438
25,36,0.0438
25,37,0.0438
25,38,0.0438
25,39,0.0438
25,40,0.0438
26,1,0
26,2,0.3196
26,3,0.4924
26,4,0.861
26,5,1
26,6,0.8248
26,7,0.5941
26,8,0.4165
26,9,0.2991
26,10,0.2249
26,11,0.1781
26,12,0.1482
26,13,0.1286
26,14,0.1154
26,15,0.1065
26,16,0.1003
26,17,0.096
26,18,0.0929
26,19,0.0908
26,20,0.0893
26,21,0.0882
26,22,0.0874
26,23,0.0869
26,24,0.0865
26,25,0.0862
26,26,0.086
26,27,0.0859
26,28,0.0858
26,29,0.0858
26,30,0.0857
26,31,0.0857
26,32,0.0857
26,33,0.0857
26,34,0.0856
26,35,0.0856
26,36,0.0856
26,37,0.0856
26,38,0.0856
26,39,0.0856
26,40,0.0856
27,1,0
27,2,0.35
27,3,0.7688
27,4,1
27,5,0.2074
27,6,0.0177
27,7,0.0019
27,8,4e-04
27,9,2e-04
27,10,1e-04
27,11,1e-04
27,12,1e-04
27,13,1e-04
27,14,1e-04
27,15,1e-04
27,16,1e-04
27,17,1e-04
27,18,1e-04
27,19,1e-04
27,20,1e-04
27,21,1e-04
27,22,1e-04
27,23,1e-04
27,24,1e-04
27,25,1e-04
27,26,1e-04
27,27,1e-04
27,28,1e-04
27,29,1e-04
27,30,1e-04
27,31,1e-04
27,32,1e-04
27,33,1e-04
27,34,1e-04
27,35,1e-04
27,36,1e-04
27,37,1e-04
27,38,1e-04
27,39,1e-04
27,40,1e-04
28,1,0
28,2,0.3363
28,3,0.5639
28,4,1
28,5,0.9444
28,6,0.5752
28,7,0.3233
28,8,0.1967
28,9,0.1364
28,10,0.1061
28,11,0.0893
28,12,0.0793
28,13,0.073
28,14,0.069
28,15,0.0663
28,16,0.0644
28,17,0.0632
28,18,0.0623
28,19,0.0617
28,20,0.0613
28,21,0.061
28,22,0.0608
28,23,0.0607
28,24,0.0606
28,25,0.0605
28,26,0.0605
28,27,0.0604
28,28,0.0604
28,29,0.0604
28,30,0.0604
28,31,0.0604
28,32,0.0604
28,33,0.0604
28,34,0.0604
28,35,0.0604
28,36,0.0604
28,37,0.0604
28,38,0.0604
28,39,0.0604
28,40,0.0604
29,1,0
29,2,0.3897
29,3,0.6082
29,4,1
29,5,0.9624
29,6,0.6435
29,7,0.4084
29,8,0.2816
29,9,0.2195
29,10,0.1891
29,11,0.1731
29,12,0.1643
29,13,0.1594
29,14,0.1565
29,15,0.1549
29,16,0.154
29,17,0.1535
29,18,0.1532
29,19,0.153
29,20,0.1529
29,21,0.1529
29,22,0.1529
29,23,0.1529
29,24,0.1529
29,25,0.1529
29,26,0.1529
29,27,0.1529
29,28,0.1529
29,29,0.1529
29,30,0.1529
29,31,0.1529
29,32,0.1529
29,33,0.1529
29,34,0.1529
29,35,0.1529
29,36,0.1529
29,37,0.1529
29,38,0.1529
29,39,0.1529
29,40,0.1529
30,1,0
30,2,0.051
30,3,0.1375
30,4,0.5482
30,5,1
30,6,0.9563
30,7,0.7391
30,8,0.568
30,9,0.4703
30,10,0.4192
30,11,0.3909
30,12,0.3748
30,13,0.3653
30,14,0.3597
30,15,0.3563
30,16,0.3543
30,17,0.3531
30,18,0.3523
30,19,0.3519
30,20,0.3516
30,21,0.3514
30,22,0.3513
30,23,0.3513
30,24,0.3512
30,25,0.3512
30,26,0.3512
30,27,0.3512
30,28,0.3512
30,29,0.3512
30,30,0.3512
30,31,0.3512
30,32,0.3512
30,33,0.3512
30,34,0.3512
30,35,0.3512
30,36,0.3512
30,37,0.3512
30,38,0.3512
30,39,0.3512
30,40,0.3512
31,1,0
31,2,0.0412
31,3,0.0644
31,4,0.1295
31,5,0.2054
31,6,0.262
31,7,0.3098
31,8,0.3625
31,9,0.429
31,10,0.5078
31,11,0.59
31,12,0.6685
31,13,0.7388
31,14,0.7985
31,15,0.8474
31,16,0.8861
31,17,0.916
31,18,0.9387
31,19,0.9556
31,20,0.9681
31,21,0.9773
31,22,0.9839
31,23,0.9887
31,24,0.9921
31,25,0.9945
31,26,0.9963
31,27,0.9975
31,28,0.9983
31,29,0.9989
31,30,0.9993
31,31,0.9996
31,32,0.9997
31,33,0.9998
31,34,0.9999
31,35,1
31,36,1
31,37,1
31,38,1
31,39,1
31,40,1
32,1,0
32,2,0
32,3,0
32,4,0
32,5,0.1622
32,6,0.2583
32,7,0.5288
32,8,0.828
32,9,0.9811
32,10,1
32,11,0.9458
32,12,0.8662
32,13,0.7881
32,14,0.7226
32,15,0.6714
32,16,0.6327
32,17,0.6039
32,18,0.5827
32,19,0.5672
32,20,0.5559
32,21,0.5477
32,22,0.5417
32,23,0.5374
32,24,0.5344
32,25,0.5322
32,26,0.5306
32,27,0.5295
32,28,0.5287
32,29,0.5281
32,30,0.5277
32,31,0.5275
32,32,0.5273
32,33,0.5271
32,34,0.527
32,35,0.527
32,36,0.527
32,37,0.5269
32,38,0.5269
32,39,0.5269
32,40,0.5269
33,1,0
33,2,0
33,3,0
33,4,0
33,5,6e-04
33,6,0.0047
33,7,0.0963
33,8,0.4716
33,9,0.667
33,10,0.6109
33,11,0.5333
33,12,0.5156
33,13,0.5473
33,14,0.6017
33,15,0.6643
33,16,0.7265
33,17,0.7834
33,18,0.8322
33,19,0.8725
33,20,0.9046
33,21,0.9296
33,22,0.9486
33,23,0.9628
33,24,0.9733
33,25,0.981
33,26,0.9866
33,27,0.9907
33,28,0.9936
33,29,0.9956
33,30,0.997
33,31,0.9981
33,32,0.9987
33,33,0.9992
33,34,0.9996
33,35,0.9998
33,36,0.9999
33,37,1
33,38,1
33,39,1
33,40,1
34,1,0
34,2,0
34,3,0
34,4,0
34,5,0.1521
34,6,0.1572
34,7,0.2071
34,8,0.3721
34,9,0.681
34,10,0.9666
34,11,1
34,12,0.7829
34,13,0.527
34,14,0.347
34,15,0.2374
34,16,0.1723
34,17,0.1331
34,18,0.1088
34,19,0.0932
34,20,0.083
34,21,0.0761
34,22,0.0714
34,23,0.0681
34,24,0.0658
34,25,0.0642
34,26,0.0631
34,27,0.0623
34,28,0.0618
34,29,0.0614
34,30,0.0611
34,31,0.0609
34,32,0.0608
34,33,0.0607
34,34,0.0606
34,35,0.0606
34,36,0.0606
34,37,0.0606
34,38,0.0606
34,39,0.0606
34,40,0.0606
35,1,0
35,2,0
35,3,0
35,4,0
35,5,0.0113
35,6,0.0268
35,7,0.1133
35,8,0.3449
35,9,0.6635
35,10,0.9142
35,11,1
35,12,0.94
35,13,0.8189
35,14,0.701
35,15,0.606
35,16,0.535
35,17,0.4835
35,18,0.4464
35,19,0.4198
35,20,0.4008
35,21,0.3871
35,22,0.3773
35,23,0.3703
35,24,0.3653
35,25,0.3617
35,26,0.3591
35,27,0.3573
35,28,0.356
35,29,0.3551
35,30,0.3545
35,31,0.354
35,32,0.3537
35,33,0.3535
35,34,0.3534
35,35,0.3533
35,36,0.3532
35,37,0.3532
35,38,0.3532
35,39,0.3532
35,40,0.3532
36,1,0
36,2,0
36,3,0
36,4,0
36,5,0.1217
36,6,0.1373
36,7,0.195
36,8,0.33
36,9,0.5561
36,10,0.8071
36,11,0.9751
36,12,1
36,13,0.9275
36,14,0.8302
36,15,0.7411
36,16,0.6693
36,17,0.6147
36,18,0.5741
36,19,0.5444
36,20,0.5228
36,21,0.5071
36,22,0.4957
36,23,0.4875
36,24,0.4816
36,25,0.4774
36,26,0.4743
36,27,0.4722
36,28,0.4707
36,29,0.4696
36,30,0.4688
36,31,0.4683
36,32,0.4679
36,33,0.4677
36,34,0.4675
36,35,0.4674
36,36,0.4673
36,37,0.4673
36,38,0.4673
36,39,0.4673
36,40,0.4673
