year,area,age,f
1960,1,3,0.020438311
1960,1,4,0.025904874
1960,1,5,0.021842659
1960,1,6,0.020067744
1960,1,7,0.020773448
1960,1,8,0.019023843
1960,1,9,0.015008172
1960,1,10,0.011387892
1960,1,11,0.009260614
1960,1,12,0.0082120584
1960,1,13,0.0076554135
1960,1,14,0.0073219957
1960,1,15,0.0071049134
1960,1,16,0.0069568806
1960,1,17,0.0068534447
1960,1,18,0.0067802499
1960,1,19,0.0067281403
1960,1,20,0.0066909704
1960,1,21,0.0066644791
1960,1,22,0.0066456532
1960,1,23,0.006632337
1960,1,24,0.0066229781
1960,1,25,0.0066165145
1960,1,26,0.0066119719
1960,1,27,0.0066088058
1960,1,28,0.0066066202
1960,1,29,0.0066051277
1960,1,30,0.0066041241
1960,1,31,0.0066034625
1960,1,32,0.0066030394
1960,1,33,0.0066027798
1960,1,34,0.0066026283
1960,1,35,0.0066025526
1960,1,36,0.006602524
1960,1,37,0.0066025263
1960,1,38,0.0066025263
1960,1,39,0.0066025263
1960,1,40,0.0066025263
1961,1,1,1.6718382e-05
1961,1,2,0.029036462
1961,1,3,0.042890823
1961,1,4,0.05382394
1961,1,5,0.043685664
1961,1,6,0.037326751
1961,1,7,0.036164563
1961,1,8,0.031022007
1961,1,9,0.022353219
1961,1,10,0.015092126
1961,1,11,0.011112479
1961,1,12,0.009361378
1961,1,13,0.008554414
1961,1,14,0.008128318
1961,1,15,0.007874714
1961,1,16,0.007711458
1961,1,17,0.007601433
1961,1,18,0.0075253567
1961,1,19,0.0074720414
1961,1,20,0.0074344497
1961,1,21,0.0074079163
1961,1,22,0.0073892393
1961,1,23,0.0073761643
1961,1,24,0.0073670877
1961,1,25,0.0073609829
1961,1,26,0.0073566866
1961,1,27,0.0073536855
1961,1,28,0.0073516096
1961,1,29,0.0073501918
1961,1,30,0.007349234
1961,1,31,0.0073486021
1961,1,32,0.007348195
1961,1,33,0.0073479438
1961,1,34,0.0073477964
1961,1,35,0.007347721
1961,1,36,0.0073476906
1961,1,37,0.0073476893
1961,1,38,0.0073476893
1961,1,39,0.0073476893
1961,1,40,0.0073476893
1962,1,1,3.0721523e-05
1962,1,2,0.034555012
1962,1,3,0.049293715
1962,1,4,0.061538164
1962,1,5,0.051936659
1962,1,6,0.047447119
1962,1,7,0.048322772
1962,1,8,0.043639883
1962,1,9,0.034076792
1962,1,10,0.02558999
1962,1,11,0.020589502
1962,1,12,0.018087568
1962,1,13,0.01672685
1962,1,14,0.015889956
1962,1,15,0.015332375
1962,1,16,0.014945274
1962,1,17,0.014671186
1962,1,18,0.014475375
1962,1,19,0.014335018
1962,1,20,0.014234398
1962,1,21,0.014162404
1962,1,22,0.014111071
1962,1,23,0.014074643
1962,1,24,0.014048944
1962,1,25,0.014031086
1962,1,26,0.014018501
1962,1,27,0.014009692
1962,1,28,0.014003578
1962,1,29,0.013999375
1962,1,30,0.013996523
1962,1,31,0.013994617
1962,1,32,0.013993372
1962,1,33,0.013992581
1962,1,34,0.013992102
1962,1,35,0.013991835
1962,1,36,0.013991706
1962,1,37,0.013991669
1962,1,38,0.013991669
1962,1,39,0.013991669
1962,1,40,0.013991669
1963,1,1,1.7912899e-05
1963,1,2,0.01464667
1963,1,3,0.021169188
1963,1,4,0.026590131
1963,1,5,0.022528168
1963,1,6,0.020778259
1963,1,7,0.021426101
1963,1,8,0.019578371
1963,1,9,0.015489555
1963,1,10,0.011815116
1963,1,11,0.00964455
1963,1,12,0.008560593
1963,1,13,0.007974569
1963,1,14,0.007617114
1963,1,15,0.007380893
1963,1,16,0.007218
1963,1,17,0.0071032481
1963,1,18,0.0070215685
1963,1,19,0.0069631697
1963,1,20,0.006921377
1963,1,21,0.0068915133
1963,1,22,0.006870242
1963,1,23,0.0068551622
1963,1,24,0.0068445373
1963,1,25,0.0068371679
1963,1,26,0.0068319802
1963,1,27,0.0068283558
1963,1,28,0.0068258462
1963,1,29,0.0068241244
1963,1,30,0.0068229624
1963,1,31,0.0068221908
1963,1,32,0.0068216899
1963,1,33,0.0068213767
1963,1,34,0.0068211908
1963,1,35,0.0068210909
1963,1,36,0.0068210472
1963,1,37,0.0068210393
1963,1,38,0.0068210393
1963,1,39,0.0068210393
1963,1,40,0.0068210393
1964,1,1,1.8729663e-05
1964,1,2,0.026188734
1964,1,3,0.03797282
1964,1,4,0.047512281
1964,1,5,0.039370688
1964,1,6,0.03489952
1964,1,7,0.03480733
1964,1,8,0.030835451
1964,1,9,0.023439631
1964,1,10,0.017078972
1964,1,11,0.01349966
1964,1,12,0.011851533
1964,1,13,0.011043635
1964,1,14,0.010590484
1964,1,15,0.010307939
1964,1,16,0.010120167
1964,1,17,0.009990904
1964,1,18,0.009900221
1964,1,19,0.009835997
1964,1,20,0.009790339
1964,1,21,0.009757881
1964,1,22,0.009734872
1964,1,23,0.009718645
1964,1,24,0.009707285
1964,1,25,0.009699511
1964,1,26,0.009694038
1964,1,27,0.009690211
1964,1,28,0.009687564
1964,1,29,0.009685749
1964,1,30,0.009684525
1964,1,31,0.009683716
1964,1,32,0.009683192
1964,1,33,0.009682866
1964,1,34,0.009682676
1964,1,35,0.009682576
1964,1,36,0.009682535
1964,1,37,0.009682533
1964,1,38,0.009682533
1964,1,39,0.009682533
1964,1,40,0.009682533
1965,1,1,1.5529508e-05
1965,1,2,0.018797694
1965,1,3,0.026801959
1965,1,4,0.033439473
1965,1,5,0.028213534
1965,1,6,0.02577396
1965,1,7,0.026277188
1965,1,8,0.023818541
1965,1,9,0.018756788
1965,1,10,0.014294452
1965,1,11,0.011718173
1965,1,12,0.010480165
1965,1,13,0.00984003
1965,1,14,0.009463492
1965,1,15,0.009220593
1965,1,16,0.009055548
1965,1,17,0.008940295
1965,1,18,0.008858672
1965,1,19,0.008800481
1965,1,20,0.008758903
1965,1,21,0.008729224
1965,1,22,0.008708102
1965,1,23,0.008693143
1965,1,24,0.008682619
1965,1,25,0.008675351
1965,1,26,0.008670229
1965,1,27,0.008666647
1965,1,28,0.008664166
1965,1,29,0.008662465
1965,1,30,0.008661315
1965,1,31,0.008660552
1965,1,32,0.008660057
1965,1,33,0.008659747
1965,1,34,0.008659566
1965,1,35,0.008659468
1965,1,36,0.008659426
1965,1,37,0.00865942
1965,1,38,0.00865942
1965,1,39,0.00865942
1965,1,40,0.00865942
1966,1,1,2.3465154e-05
1966,1,2,0.017806807
1966,1,3,0.024215985
1966,1,4,0.030013236
1966,1,5,0.02678957
1966,1,6,0.026658824
1966,1,7,0.028756603
1966,1,8,0.027431856
1966,1,9,0.023118228
1966,1,10,0.018941981
1966,1,11,0.016266661
1966,1,12,0.014762254
1966,1,13,0.013845519
1966,1,14,0.013235084
1966,1,15,0.012808767
1966,1,16,0.012504691
1966,1,17,0.012285921
1966,1,18,0.012128046
1966,1,19,0.012014105
1966,1,20,0.011932001
1966,1,21,0.011873005
1966,1,22,0.01183077
1966,1,23,0.011800671
1966,1,24,0.011779338
1966,1,25,0.011764376
1966,1,26,0.011753828
1966,1,27,0.011746442
1966,1,28,0.011741314
1966,1,29,0.011737787
1966,1,30,0.011735392
1966,1,31,0.011733789
1966,1,32,0.011732739
1966,1,33,0.011732073
1966,1,34,0.011731669
1966,1,35,0.011731442
1966,1,36,0.011731331
1966,1,37,0.011731297
1966,1,38,0.011731297
1966,1,39,0.011731297
1966,1,40,0.011731297
1967,1,1,2.141459e-05
1967,1,2,0.022310414
1967,1,3,0.032113408
1967,1,4,0.040201372
1967,1,5,0.03380567
1967,1,6,0.030738447
1967,1,7,0.03127051
1967,1,8,0.028213735
1967,1,9,0.021976086
1967,1,10,0.016461467
1967,1,11,0.013244483
1967,1,12,0.011665325
1967,1,13,0.010826372
1967,1,14,0.010320812
1967,1,15,0.009988893
1967,1,16,0.009760712
1967,1,17,0.009600191
1967,1,18,0.009486003
1967,1,19,0.009404387
1967,1,20,0.009345994
1967,1,21,0.009304279
1967,1,22,0.009274574
1967,1,23,0.009253524
1967,1,24,0.0092387
1967,1,25,0.009228429
1967,1,26,0.009221196
1967,1,27,0.009216137
1967,1,28,0.009212628
1967,1,29,0.009210223
1967,1,30,0.009208593
1967,1,31,0.009207508
1967,1,32,0.009206801
1967,1,33,0.009206358
1967,1,34,0.009206092
1967,1,35,0.009205947
1967,1,36,0.009205879
1967,1,37,0.009205865
1967,1,38,0.009205865
1967,1,39,0.009205865
1967,1,40,0.009205865
1968,1,1,2.0513634e-05
1968,1,2,0.018914756
1968,1,3,0.024965798
1968,1,4,0.030639242
1968,1,5,0.0277267
1968,1,6,0.028023852
1968,1,7,0.030336083
1968,1,8,0.029025264
1968,1,9,0.024629584
1968,1,10,0.020309588
1968,1,11,0.017459969
1968,1,12,0.015786141
1968,1,13,0.014724029
1968,1,14,0.013996532
1968,1,15,0.013479319
1968,1,16,0.013106257
1968,1,17,0.012835923
1968,1,18,0.012639936
1968,1,19,0.01249806
1968,1,20,0.012395617
1968,1,21,0.012321895
1968,1,22,0.012269051
1968,1,23,0.012231344
1968,1,24,0.012204577
1968,1,25,0.012185752
1968,1,26,0.012172471
1968,1,27,0.012163163
1968,1,28,0.012156689
1968,1,29,0.012152227
1968,1,30,0.012149186
1968,1,31,0.012147145
1968,1,32,0.0121458
1968,1,33,0.012144937
1968,1,34,0.012144407
1968,1,35,0.012144101
1968,1,36,0.012143944
1968,1,37,0.012143884
1968,1,38,0.012143884
1968,1,39,0.012143884
1968,1,40,0.012143884
1969,1,1,2.0666362e-05
1969,1,2,0.023408508
1969,1,3,0.03353359
1969,1,4,0.041901461
1969,1,5,0.035232934
1969,1,6,0.031996274
1969,1,7,0.032454268
1969,1,8,0.02918034
1969,1,9,0.022624044
1969,1,10,0.016831408
1969,1,11,0.013432428
1969,1,12,0.011742124
1969,1,13,0.010828856
1969,1,14,0.010269967
1969,1,15,0.009898767
1969,1,16,0.009641537
1969,1,17,0.009459608
1969,1,18,0.009329736
1969,1,19,0.009236697
1969,1,20,0.00917003
1969,1,21,0.009122349
1969,1,22,0.009088365
1969,1,23,0.00906426
1969,1,24,0.009047262
1969,1,25,0.009035458
1969,1,26,0.009027142
1969,1,27,0.009021322
1969,1,28,0.009017282
1969,1,29,0.009014505
1969,1,30,0.009012618
1969,1,31,0.009011361
1969,1,32,0.009010538
1969,1,33,0.009010016
1969,1,34,0.009009699
1969,1,35,0.009009522
1969,1,36,0.009009437
1969,1,37,0.009009411
1969,1,38,0.009009411
1969,1,39,0.009009411
1969,1,40,0.009009411
1970,1,1,3.7119073e-05
1970,1,2,0.020165508
1970,1,3,0.029026966
1970,1,4,0.036643885
1970,1,5,0.032059633
1970,1,6,0.031250548
1970,1,7,0.033752706
