year,area,stage,f
2005,3,adult,0.115855313038374
2006,3,adult,0.130486682092198
2007,3,adult,0.1349986319824
2008,3,adult,0.162086245836647
2009,3,adult,0.171625880133807
2010,3,adult,0.283520551771583
2011,3,adult,0.238926442265949
2012,3,adult,0.278763017263803
2013,3,adult,0.248811737701832
2014,3,adult,0.179884332996364
2015,3,adult,0.0948398409547809
2016,3,adult,0.151564072200685
2017,3,adult,0.233502203803451
2018,3,adult,0.143474939915263
2019,3,adult,0.0977674790737465
2020,3,adult,0.174298283989077
2021,3,adult,0.0944034939283561
2022,3,adult,0.122915290540745
2023,3,adult,0.171901401999664
2024,3,adult,0.231350294475205
1952,4,adult,0.00168864111736981
1953,4,adult,0.00220017869891753
1954,4,adult,0.00088601755350099
1955,4,adult,0.00265005809293475
1956,4,adult,0.00236634655794454
1957,4,adult,0.00467198086147752
1958,4,adult,0.00571615683360969
1959,4,adult,0.00575363797937194
1960,4,adult,0.00726630669316237
1961,4,adult,0.00814683392014854
1962,4,adult,0.00717181919403258
1963,4,adult,0.00960345188408306
1964,4,adult,0.00779176440247351
1965,4,adult,0.00741496962068626
1966,4,adult,0.0103855784797629
1967,4,adult,0.00667821203756997
1968,4,adult,0.00918639137860442
1969,4,adult,0.0110548184465537
1970,4,adult,0.00939662170223945
1971,4,adult,0.0082398522248603
1972,4,adult,0.0110030882481362
1973,4,adult,0.00768640261141136
1974,4,adult,0.00614661503675175
1975,4,adult,0.00750447214845884
1976,4,adult,0.0129645482377661
1977,4,adult,0.0184196231494554
1978,4,adult,0.0159889792674258
1979,4,adult,0.0187588966495818
1980,4,adult,0.0245202351441366
1981,4,adult,0.0183309824111917
1982,4,adult,0.0255283815474668
1983,4,adult,0.0314016437182902
1984,4,adult,0.0260004778716115
1985,4,adult,0.0241572096935236
1986,4,adult,0.026256921790679
1987,4,adult,0.0432433703850058
1988,4,adult,0.0332377292503337
1989,4,adult,0.0310311428724505
1990,4,adult,0.0649872204968025
1991,4,adult,0.0536183420642081
1992,4,adult,0.110968934962564
1993,4,adult,0.136155457884407
1994,4,adult,0.159319823850134
1995,4,adult,0.102871473951856
1996,4,adult,0.0779473308979019
1997,4,adult,0.151827277163405
1998,4,adult,0.198516654991145
1999,4,adult,0.124317771145929
2000,4,adult,0.140818155308577
2001,4,adult,0.170852042386469
2002,4,adult,0.15553230417594
2003,4,adult,0.110122973625561
2004,4,adult,0.118240452964808
2005,4,adult,0.155882957647279
2006,4,adult,0.11575335966127
2007,4,adult,0.118081534616044
2008,4,adult,0.148038950365748
2009,4,adult,0.0981991240524685
2010,4,adult,0.127943763403833
2011,4,adult,0.116425473463025
2012,4,adult,0.211397870965429
2013,4,adult,0.106022820995002
2014,4,adult,0.188258919865617
2015,4,adult,0.176221774655854
2016,4,adult,0.163831023909405
2017,4,adult,0.187951641196592
2018,4,adult,0.16073964699176
2019,4,adult,0.197806021067903
2020,4,adult,0.1333814821049
2021,4,adult,0.139865535786376
2022,4,adult,0.104899841027863
2023,4,adult,0.200232329176977
2024,4,adult,0.1438554046592
1952,5,adult,0.00016761955435257
1953,5,adult,0.00121191141279205
1954,5,adult,0.00389855795503711
1955,5,adult,0.0018188337881591
1956,5,adult,0.00141993983210188
1957,5,adult,0.00363741404934175
1958,5,adult,0.00377030819277212
1959,5,adult,0.00223975923779089
1960,5,adult,0.00345438910604533
1961,5,adult,0.00389497489150508
1962,5,adult,0.00549166621182325
1963,5,adult,0.0054595722239248
1964,5,adult,0.00430905389277226
1965,5,adult,0.00493113501602484
1966,5,adult,0.00766448814562737
1967,5,adult,0.00389686409691026
1968,5,adult,0.00315240364799711
1969,5,adult,0.00510943051430949
1970,5,adult,0.00516957563022281
1971,5,adult,0.00616111628449037
1972,5,adult,0.00539516435624111
1973,5,adult,0.0101798133952903
1974,5,adult,0.00634026971477291
1975,5,adult,0.00263607551404622
1976,5,adult,0.00432805406340535
1977,5,adult,0.00322760686725132
1978,5,adult,0.0042966557665707
1979,5,adult,0.00653918607382407
1980,5,adult,0.00751766785404193
1981,5,adult,0.00962692734038613
1982,5,adult,0.00505620979400838
1983,5,adult,0.00673107271800567
1984,5,adult,0.0034481324838204
1985,5,adult,0.00811743118135424
1986,5,adult,0.00460579230639627
1987,5,adult,0.00681771064993894
1988,5,adult,0.0134478144508396
1989,5,adult,0.00646783705417481
1990,5,adult,0.00930292104307237
1991,5,adult,0.00663913505622093
1992,5,adult,0.00740280452246144
1993,5,adult,0.011424733376051
1994,5,adult,0.0146571117026263
1995,5,adult,0.0179285647218942
1996,5,adult,0.018784432655379
1997,5,adult,0.0148336579979748
1998,5,adult,0.0155430400609039
1999,5,adult,0.0130042697699735
2000,5,adult,0.0191055426652424
2001,5,adult,0.0209352172236305
2002,5,adult,0.0309541367201967
2003,5,adult,0.04641146382768
2004,5,adult,0.0443727376056479
2005,5,adult,0.0286278316793291
2006,5,adult,0.0345226369545618
2007,5,adult,0.0371201510108219
2008,5,adult,0.0395575830489944
2009,5,adult,0.04009166173719
2010,5,adult,0.0506747170370685
2011,5,adult,0.0479019176971537
2012,5,adult,0.0398117128782833
2013,5,adult,0.0291509842017523
2014,5,adult,0.0498464843466785
2015,5,adult,0.0479229094919003
2016,5,adult,0.0337881290450491
2017,5,adult,0.0493726751350438
2018,5,adult,0.0333205607765565
2019,5,adult,0.0415238622717143
2020,5,adult,0.043276264653199
2021,5,adult,0.0297844142772566
2022,5,adult,0.0305489118009744
2023,5,adult,0.0346166169992112
2024,5,adult,0.0407375298574249
1952,all,adult,0.00146756846841423
1953,all,adult,0.00182411494000759
1954,all,adult,0.00194852892718425
1955,all,adult,0.00206302885891755
1956,all,adult,0.00189530682224634
1957,all,adult,0.00348385555306806
1958,all,adult,0.00440949844900908
1959,all,adult,0.00452524297572407
1960,all,adult,0.00512538542390696
1961,all,adult,0.00582607366093553
1962,all,adult,0.00712852455870713
1963,all,adult,0.00650610106378576
1964,all,adult,0.00591384249146946
