year,season,area,sb
1980,4,2,1269500
1981,4,2,1105700
1982,4,2,1081700
1983,4,2,1117900
1984,4,2,1151900
1985,4,2,1146700
1986,4,2,1338500
1987,4,2,1357000
1988,4,2,1259000
1989,4,2,1142600
1990,4,2,984440
1991,4,2,851350
1992,4,2,678200
1993,4,2,573310
1994,4,2,547970
1995,4,2,576180
1996,4,2,617160
1997,4,2,618730
1998,4,2,578120
1999,4,2,547750
2000,4,2,558840
2001,4,2,596060
2002,4,2,594760
2003,4,2,593900
2004,4,2,584620
2005,4,2,593270
2006,4,2,556040
2007,4,2,571330
2008,4,2,587880
2009,4,2,564530
2010,4,2,513820
2011,4,2,464490
2012,4,2,455800
2013,4,2,495200
2014,4,2,531230
2015,4,2,570240
2016,4,2,569030
2017,4,2,535480
2018,4,2,477550
2019,4,2,481120
2020,4,2,484240
2021,4,2,403490
2022,4,2,380160
2023,4,2,351540
2024,4,2,354660
1952,1,3,1489100
1953,1,3,1364200
1954,1,3,1401400
1955,1,3,1415000
1956,1,3,1330900
1957,1,3,1359300
1958,1,3,1308900
1959,1,3,1209000
1960,1,3,1181600
1961,1,3,1139900
1962,1,3,1039200
1963,1,3,947570
1964,1,3,893490
1965,1,3,856270
1966,1,3,844720
1967,1,3,783660
1968,1,3,706080
1969,1,3,645700
1970,1,3,631760
1971,1,3,642340
1972,1,3,648870
1973,1,3,617450
1974,1,3,581980
1975,1,3,574060
1976,1,3,552760
1977,1,3,538820
1978,1,3,562720
1979,1,3,613270
1980,1,3,621070
1981,1,3,593290
1982,1,3,561430
1983,1,3,548220
1984,1,3,542280
1985,1,3,532200
1986,1,3,510050
1987,1,3,535040
1988,1,3,546980
1989,1,3,534090
1990,1,3,493570
1991,1,3,463790
1992,1,3,422000
1993,1,3,388050
1994,1,3,351930
1995,1,3,330200
1996,1,3,309400
1997,1,3,311680
1998,1,3,305990
1999,1,3,277920
2000,1,3,255350
2001,1,3,237030
2002,1,3,224600
2003,1,3,227630
2004,1,3,204210
2005,1,3,209280
2006,1,3,210840
2007,1,3,200320
2008,1,3,201850
2009,1,3,204150
2010,1,3,207200
2011,1,3,181880
2012,1,3,174700
2013,1,3,160870
2014,1,3,164980
2015,1,3,184730
2016,1,3,216470
2017,1,3,214120
2018,1,3,201420
2019,1,3,205940
2020,1,3,227220
2021,1,3,234970
2022,1,3,249740
2023,1,3,275960
2024,1,3,272230
1952,2,3,1472400
1953,2,3,1243000
1954,2,3,1289600
1955,2,3,1269300
1956,2,3,1208700
1957,2,3,1236800
1958,2,3,1169300
1959,2,3,1094800
1960,2,3,1080400
1961,2,3,1025200
1962,2,3,924270
1963,2,3,851920
1964,2,3,805900
1965,2,3,782060
1966,2,3,767230
1967,2,3,699940
1968,2,3,630240
1969,2,3,584690
1970,2,3,581780
1971,2,3,594170
1972,2,3,593030
1973,2,3,554630
1974,2,3,531420
1975,2,3,524950
1976,2,3,501400
1977,2,3,496040
1978,2,3,527690
1979,2,3,568530
1980,2,3,559910
1981,2,3,531130
1982,2,3,503610
1983,2,3,496120
1984,2,3,492220
1985,2,3,478100
1986,2,3,464430
1987,2,3,495060
1988,2,3,498200
1989,2,3,477830
1990,2,3,444850
1991,2,3,399160
1992,2,3,372500
1993,2,3,340930
1994,2,3,311010
1995,2,3,293500
1996,2,3,277410
1997,2,3,277290
1998,2,3,268920
1999,2,3,245100
2000,2,3,226110
2001,2,3,216570
2002,2,3,205120
2003,2,3,192460
2004,2,3,188670
2005,2,3,192890
2006,2,3,190400
2007,2,3,180860
2008,2,3,186800
2009,2,3,187080
2010,2,3,179750
2011,2,3,166770
2012,2,3,156660
2013,2,3,146350
2014,2,3,153890
2015,2,3,175420
2016,2,3,201350
2017,2,3,186700
2018,2,3,183290
2019,2,3,186710
2020,2,3,198060
2021,2,3,216000
2022,2,3,234260
2023,2,3,251330
2024,2,3,235740
1952,3,3,1644900
1953,3,3,1452200
1954,3,3,1480100
1955,3,3,1415800
1956,3,3,1389700
1957,3,3,1408300
1958,3,3,1325100
1959,3,3,1283900
1960,3,3,1276900
1961,3,3,1184700
1962,3,3,1056900
1963,3,3,976380
1964,3,3,925010
1965,3,3,913300
1966,3,3,888640
1967,3,3,804410
1968,3,3,726860
1969,3,3,687600
1970,3,3,694590
1971,3,3,711480
1972,3,3,695450
1973,3,3,644170
1974,3,3,629800
1975,3,3,619950
1976,3,3,592620
1977,3,3,599910
1978,3,3,650630
1979,3,3,682740
1980,3,3,654090
1981,3,3,614010
1982,3,3,588460
1983,3,3,581530
1984,3,3,576810
1985,3,3,550510
1986,3,3,555290
1987,3,3,583840
1988,3,3,573050
1989,3,3,540500
1990,3,3,494570
1991,3,3,436740
1992,3,3,406090
1993,3,3,361860
1994,3,3,329470
1995,3,3,311750
1996,3,3,305180
1997,3,3,309680
1998,3,3,286910
1999,3,3,263000
2000,3,3,239770
2001,3,3,241260
2002,3,3,230580
2003,3,3,212910
2004,3,3,217610
2005,3,3,219770
2006,3,3,207330
2007,3,3,203510
2008,3,3,211570
2009,3,3,214090
2010,3,3,210890
2011,3,3,194110
2012,3,3,179860
2013,3,3,174460
2014,3,3,191270
2015,3,3,215570
2016,3,3,234350
2017,3,3,214370
2018,3,3,210260
2019,3,3,219970
2020,3,3,231040
2021,3,3,253750
2022,3,3,262330
2023,3,3,279820
2024,3,3,256840
1952,4,3,1480100
1953,4,3,1309800
1954,4,3,1326300
